,instance,init_temperature,min_temperature,cooling_coefficient,equilibrium,cost_coefficient,relative_absolute_error,is_instance_optimal,cost,weight,is_solution
0,wuf50-01,10000,0.0001,0.9,50,3,0.013761467889908285,False,5010,13191,False
1,wuf50-01,10000,0.0001,0.9,50,3,0.013761467889908285,False,8187,16368,False
2,wuf50-01,10000,0.0001,0.9,50,3,0.00917431192660545,False,11667,17121,False
3,wuf50-01,10000,0.0001,0.9,50,3,0.013761467889908285,False,4552,12733,False
4,wuf50-01,10000,0.0001,0.9,50,3,0.00917431192660545,False,11820,17274,False
5,wuf50-02,10000,0.0001,0.9,50,3,0.00917431192660545,False,12858,18174,False
6,wuf50-02,10000,0.0001,0.9,50,3,0.004587155963302725,False,17290,19948,False
7,wuf50-02,10000,0.0001,0.9,50,3,0.00917431192660545,False,13741,19057,False
8,wuf50-02,10000,0.0001,0.9,50,3,0.013761467889908285,False,11083,19057,False
9,wuf50-02,10000,0.0001,0.9,50,3,0.004587155963302725,False,15808,18466,False
10,wuf50-03,10000,0.0001,0.9,50,3,0.0,False,19136,19136,True
11,wuf50-03,10000,0.0001,0.9,50,3,0.004587155963302725,False,18016,20191,False
12,wuf50-03,10000,0.0001,0.9,50,3,0.0,False,20415,20415,True
13,wuf50-03,10000,0.0001,0.9,50,3,0.00917431192660545,False,12146,16496,False
14,wuf50-03,10000,0.0001,0.9,50,3,0.0,False,19623,19623,True
15,wuf50-04,10000,0.0001,0.9,50,3,0.00917431192660545,False,8796,13146,False
16,wuf50-04,10000,0.0001,0.9,50,3,0.00917431192660545,False,9066,13416,False
17,wuf50-04,10000,0.0001,0.9,50,3,0.01834862385321101,False,2636,11336,False
18,wuf50-04,10000,0.0001,0.9,50,3,0.00917431192660545,False,10966,15316,False
19,wuf50-04,10000,0.0001,0.9,50,3,0.0,False,15678,15678,True
20,wuf50-05,10000,0.0001,0.9,50,3,0.0,False,13481,13481,True
21,wuf50-05,10000,0.0001,0.9,50,3,0.0,False,13160,13160,True
22,wuf50-05,10000,0.0001,0.9,50,3,0.0,False,13168,13168,True
23,wuf50-05,10000,0.0001,0.9,50,3,0.004587155963302725,False,9768,11373,False
24,wuf50-05,10000,0.0001,0.9,50,3,0.0,False,13243,13243,True
25,wuf50-06,10000,0.0001,0.9,50,3,0.004587155963302725,False,3026,3515,False
26,wuf50-06,10000,0.0001,0.9,50,3,0.013761467889908285,False,2297,3764,False
27,wuf50-06,10000,0.0001,0.9,50,3,0.004587155963302725,False,3274,3763,False
28,wuf50-06,10000,0.0001,0.9,50,3,0.004587155963302725,False,3026,3515,False
29,wuf50-06,10000,0.0001,0.9,50,3,0.004587155963302725,False,3191,3680,False
30,wuf50-07,10000,0.0001,0.9,50,3,0.00917431192660545,False,17220,24108,False
31,wuf50-07,10000,0.0001,0.9,50,3,0.013761467889908285,False,10637,20969,False
32,wuf50-07,10000,0.0001,0.9,50,3,0.022935779816513735,False,5749,22969,False
33,wuf50-07,10000,0.0001,0.9,50,3,0.01834862385321101,False,3391,17167,False
34,wuf50-07,10000,0.0001,0.9,50,3,0.013761467889908285,False,10922,21254,False
35,wuf50-08,10000,0.0001,0.9,50,3,0.01834862385321101,False,9189,22965,False
36,wuf50-08,10000,0.0001,0.9,50,3,0.01834862385321101,False,3450,17226,False
37,wuf50-08,10000,0.0001,0.9,50,3,0.013761467889908285,False,11488,21820,False
38,wuf50-08,10000,0.0001,0.9,50,3,0.022935779816513735,False,6320,23540,False
39,wuf50-08,10000,0.0001,0.9,50,3,0.01834862385321101,False,10338,24114,False
40,wuf50-09,10000,0.0001,0.9,50,3,0.01834862385321101,False,3840,12156,False
41,wuf50-09,10000,0.0001,0.9,50,3,0.004587155963302725,False,6598,8677,False
42,wuf50-09,10000,0.0001,0.9,50,3,0.00917431192660545,False,7868,12026,False
43,wuf50-09,10000,0.0001,0.9,50,3,0.01834862385321101,False,2211,10527,False
44,wuf50-09,10000,0.0001,0.9,50,3,0.004587155963302725,False,6175,8254,False
45,wuf50-010,10000,0.0001,0.9,50,3,0.004587155963302725,False,23622,28044,False
46,wuf50-010,10000,0.0001,0.9,50,3,0.013761467889908285,False,16675,29941,False
47,wuf50-010,10000,0.0001,0.9,50,3,0.01834862385321101,False,9812,27500,False
48,wuf50-010,10000,0.0001,0.9,50,3,0.013761467889908285,False,15726,28992,False
49,wuf50-010,10000,0.0001,0.9,50,3,0.01834862385321101,False,12908,30596,False
50,wuf50-01,10000,0.0001,0.9,50,3,0.01834862385321101,False,87654,231078,False
51,wuf50-01,10000,0.0001,0.9,50,3,0.01834862385321101,False,67735,211159,False
52,wuf50-01,10000,0.0001,0.9,50,3,0.00917431192660545,False,153386,225098,False
53,wuf50-01,10000,0.0001,0.9,50,3,0.013761467889908285,False,87653,195221,False
54,wuf50-01,10000,0.0001,0.9,50,3,0.00917431192660545,False,141438,213150,False
55,wuf50-02,10000,0.0001,0.9,50,3,0.00917431192660545,False,157244,227126,False
56,wuf50-02,10000,0.0001,0.9,50,3,0.00917431192660545,False,203833,273715,False
57,wuf50-02,10000,0.0001,0.9,50,3,0.004587155963302725,False,192187,227128,False
58,wuf50-02,10000,0.0001,0.9,50,3,0.013761467889908285,False,180537,285360,False
59,wuf50-02,10000,0.0001,0.9,50,3,0.004587155963302725,False,192190,227131,False
60,wuf50-03,10000,0.0001,0.9,50,3,0.00917431192660545,False,113399,144869,False
61,wuf50-03,10000,0.0001,0.9,50,3,0.0,False,151699,151699,True
62,wuf50-03,10000,0.0001,0.9,50,3,0.0,False,150081,150081,True
63,wuf50-03,10000,0.0001,0.9,50,3,0.0,False,144767,144767,True
64,wuf50-03,10000,0.0001,0.9,50,3,0.0,False,149482,149482,True
65,wuf50-04,10000,0.0001,0.9,50,3,0.00917431192660545,False,62946,94416,False
66,wuf50-04,10000,0.0001,0.9,50,3,0.00917431192660545,False,64261,95731,False
67,wuf50-04,10000,0.0001,0.9,50,3,0.013761467889908285,False,53112,100317,False
68,wuf50-04,10000,0.0001,0.9,50,3,0.00917431192660545,False,53116,84586,False
69,wuf50-04,10000,0.0001,0.9,50,3,0.00917431192660545,False,47866,79336,False
70,wuf50-05,10000,0.0001,0.9,50,3,0.0,False,197363,197363,True
71,wuf50-05,10000,0.0001,0.9,50,3,0.0,False,223998,223998,True
72,wuf50-05,10000,0.0001,0.9,50,3,0.0,False,222474,222474,True
73,wuf50-05,10000,0.0001,0.9,50,3,0.0,False,216106,216106,True
74,wuf50-05,10000,0.0001,0.9,50,3,0.0,False,225701,225701,True
75,wuf50-06,10000,0.0001,0.9,50,3,0.00917431192660545,False,53815,81889,False
76,wuf50-06,10000,0.0001,0.9,50,3,0.004587155963302725,False,93590,107627,False
77,wuf50-06,10000,0.0001,0.9,50,3,0.01834862385321101,False,49135,105283,False
78,wuf50-06,10000,0.0001,0.9,50,3,0.004587155963302725,False,91250,105287,False
79,wuf50-06,10000,0.0001,0.9,50,3,0.00917431192660545,False,63180,91254,False
80,wuf50-07,10000,0.0001,0.9,50,3,0.013761467889908285,False,79230,142257,False
81,wuf50-07,10000,0.0001,0.9,50,3,0.01834862385321101,False,40165,124201,False
82,wuf50-07,10000,0.0001,0.9,50,3,0.00917431192660545,False,106690,148708,False
83,wuf50-07,10000,0.0001,0.9,50,3,0.013761467889908285,False,76379,139406,False
84,wuf50-07,10000,0.0001,0.9,50,3,0.01834862385321101,False,38865,122901,False
85,wuf50-08,10000,0.0001,0.9,50,3,0.01834862385321101,False,56030,140066,False
86,wuf50-08,10000,0.0001,0.9,50,3,0.01834862385321101,False,31526,115562,False
87,wuf50-08,10000,0.0001,0.9,50,3,0.022935779816513735,False,42024,147069,False
88,wuf50-08,10000,0.0001,0.9,50,3,0.01834862385321101,False,63035,147071,False
89,wuf50-08,10000,0.0001,0.9,50,3,0.01834862385321101,False,63032,147068,False
90,wuf50-09,10000,0.0001,0.9,50,3,0.013761467889908285,False,45279,111087,False
91,wuf50-09,10000,0.0001,0.9,50,3,0.004587155963302725,False,106166,128102,False
92,wuf50-09,10000,0.0001,0.9,50,3,0.013761467889908285,False,46872,112680,False
93,wuf50-09,10000,0.0001,0.9,50,3,0.01834862385321101,False,43175,130919,False
94,wuf50-09,10000,0.0001,0.9,50,3,0.0,False,135083,135083,True
95,wuf50-010,10000,0.0001,0.9,50,3,0.013761467889908285,False,80580,147603,False
96,wuf50-010,10000,0.0001,0.9,50,3,0.00917431192660545,False,123545,168227,False
97,wuf50-010,10000,0.0001,0.9,50,3,0.013761467889908285,False,119917,186940,False
98,wuf50-010,10000,0.0001,0.9,50,3,0.01834862385321101,False,85453,174817,False
99,wuf50-010,10000,0.0001,0.9,50,3,0.00917431192660545,False,122019,166701,False
100,wuf50-01,10000,0.0001,0.9,50,3,0.013761467889908285,False,2468,15716,False
101,wuf50-01,10000,0.0001,0.9,50,3,0.01834862385321101,False,7123,24787,False
102,wuf50-01,10000,0.0001,0.9,50,3,0.013761467889908285,False,1485,14733,False
103,wuf50-01,10000,0.0001,0.9,50,3,0.01834862385321101,False,-1215,16449,False
104,wuf50-01,10000,0.0001,0.9,50,3,0.00917431192660545,False,6393,15225,False
105,wuf50-02,10000,0.0001,0.9,50,3,0.004587155963302725,False,5306,8189,False
106,wuf50-02,10000,0.0001,0.9,50,3,0.00917431192660545,False,8184,13950,False
107,wuf50-02,10000,0.0001,0.9,50,3,0.00917431192660545,False,9786,15552,False
108,wuf50-02,10000,0.0001,0.9,50,3,0.01834862385321101,False,2419,13951,False
109,wuf50-02,10000,0.0001,0.9,50,3,0.004587155963302725,False,11711,14594,False
110,wuf50-03,10000,0.0001,0.9,50,3,0.00917431192660545,False,2988,8754,False
111,wuf50-03,10000,0.0001,0.9,50,3,0.0,False,4285,4285,True
112,wuf50-03,10000,0.0001,0.9,50,3,0.004587155963302725,False,3496,6379,False
113,wuf50-03,10000,0.0001,0.9,50,3,0.0,False,4018,4018,True
114,wuf50-03,10000,0.0001,0.9,50,3,0.004587155963302725,False,3970,6853,False
115,wuf50-04,10000,0.0001,0.9,50,3,0.01834862385321101,False,413,13217,False
116,wuf50-04,10000,0.0001,0.9,50,3,0.013761467889908285,False,6817,16420,False
117,wuf50-04,10000,0.0001,0.9,50,3,0.032110091743119296,False,-3456,18951,False
118,wuf50-04,10000,0.0001,0.9,50,3,0.00917431192660545,False,18,6420,False
119,wuf50-04,10000,0.0001,0.9,50,3,0.004587155963302725,False,6416,9617,False
120,wuf50-05,10000,0.0001,0.9,50,3,0.004587155963302725,False,6548,9743,False
121,wuf50-05,10000,0.0001,0.9,50,3,0.004587155963302725,False,7078,10273,False
122,wuf50-05,10000,0.0001,0.9,50,3,0.0,False,7775,7775,True
123,wuf50-05,10000,0.0001,0.9,50,3,0.0,False,8375,8375,True
124,wuf50-05,10000,0.0001,0.9,50,3,0.0,False,11057,11057,True
125,wuf50-06,10000,0.0001,0.9,50,3,0.00917431192660545,False,6914,12824,False
126,wuf50-06,10000,0.0001,0.9,50,3,0.00917431192660545,False,5437,11347,False
127,wuf50-06,10000,0.0001,0.9,50,3,0.004587155963302725,False,9872,12827,False
128,wuf50-06,10000,0.0001,0.9,50,3,0.00917431192660545,False,7903,13813,False
129,wuf50-06,10000,0.0001,0.9,50,3,0.00917431192660545,False,6426,12336,False
130,wuf50-07,10000,0.0001,0.9,50,3,0.013761467889908285,False,107,9656,False
131,wuf50-07,10000,0.0001,0.9,50,3,0.004587155963302725,False,6105,9288,False
