,instance,init_temperature,min_temperature,cooling_coefficient,equilibrium,cost_coefficient,relative_absolute_error,is_instance_optimal,cost,weight,is_solution
0,wuf75-01,31622776.60168379,0.0001,0.9,300,5,0.0,False,19229,19229,True
1,wuf75-01,31622776.60168379,0.0001,0.9,300,5,0.006153846153846176,False,11075,17805,False
2,wuf75-01,31622776.60168379,0.0001,0.9,300,5,0.006153846153846176,False,11615,18345,False
3,wuf75-01,31622776.60168379,0.0001,0.9,300,5,0.003076923076923088,False,13235,16600,False
4,wuf75-01,31622776.60168379,0.0001,0.9,300,5,0.009230769230769265,False,5031,15126,False
5,wuf75-02,31622776.60168379,0.0001,0.9,300,5,0.003076923076923088,False,21182,24547,False
6,wuf75-02,31622776.60168379,0.0001,0.9,300,5,0.003076923076923088,False,18789,22154,False
7,wuf75-02,31622776.60168379,0.0001,0.9,300,5,0.003076923076923088,False,19251,22616,False
8,wuf75-02,31622776.60168379,0.0001,0.9,300,5,0.003076923076923088,False,18946,22311,False
9,wuf75-02,31622776.60168379,0.0001,0.9,300,5,0.003076923076923088,False,17715,21080,False
10,wuf75-03,31622776.60168379,0.0001,0.9,300,5,0.01538461538461533,False,5169,21994,False
11,wuf75-03,31622776.60168379,0.0001,0.9,300,5,0.012307692307692353,False,5842,19302,False
12,wuf75-03,31622776.60168379,0.0001,0.9,300,5,0.009230769230769265,False,8753,18848,False
13,wuf75-03,31622776.60168379,0.0001,0.9,300,5,0.003076923076923088,False,8537,11902,False
14,wuf75-03,31622776.60168379,0.0001,0.9,300,5,0.009230769230769265,False,4045,14140,False
15,wuf75-04,31622776.60168379,0.0001,0.9,300,5,0.009230769230769265,False,12123,22218,False
16,wuf75-04,31622776.60168379,0.0001,0.9,300,5,0.01538461538461533,False,5728,22553,False
17,wuf75-04,31622776.60168379,0.0001,0.9,300,5,0.006153846153846176,False,20869,27599,False
18,wuf75-04,31622776.60168379,0.0001,0.9,300,5,0.009230769230769265,False,13468,23563,False
19,wuf75-04,31622776.60168379,0.0001,0.9,300,5,0.003076923076923088,False,16384,19749,False
