,instance,init_temperature,min_temperature,cooling_coefficient,equilibrium,cost_coefficient,relative_absolute_error,is_instance_optimal,cost,weight,is_solution
0,wuf75-01,21865,0.0001,0.9,150,3,0.006153846153846176,False,14245,18283,False
1,wuf75-01,21865,0.0001,0.9,150,3,0.012307692307692353,False,6286,14362,False
2,wuf75-01,21865,0.0001,0.9,150,3,0.01538461538461533,False,4515,14610,False
3,wuf75-01,21865,0.0001,0.9,150,3,0.006153846153846176,False,12811,16849,False
4,wuf75-01,21865,0.0001,0.9,150,3,0.003076923076923088,False,16173,18192,False
5,wuf75-02,28339,0.0001,0.9,150,3,0.003076923076923088,False,22577,24596,False
6,wuf75-02,28339,0.0001,0.9,150,3,0.006153846153846176,False,19553,23591,False
7,wuf75-02,28339,0.0001,0.9,150,3,0.003076923076923088,False,23084,25103,False
8,wuf75-02,28339,0.0001,0.9,150,3,0.009230769230769265,False,16315,22372,False
9,wuf75-02,28339,0.0001,0.9,150,3,0.0,False,24468,24468,True
10,wuf75-03,24491,0.0001,0.9,150,3,0.018461538461538418,False,3823,15937,False
11,wuf75-03,24491,0.0001,0.9,150,3,0.012307692307692353,False,11899,19975,False
12,wuf75-03,24491,0.0001,0.9,150,3,0.009230769230769265,False,9882,15939,False
13,wuf75-03,24491,0.0001,0.9,150,3,0.009230769230769265,False,8992,15049,False
14,wuf75-03,24491,0.0001,0.9,150,3,0.021538461538461506,False,5843,19976,False
15,wuf75-04,27963,0.0001,0.9,150,3,0.024615384615384595,False,7755,23907,False
16,wuf75-04,27963,0.0001,0.9,150,3,0.01538461538461533,False,9771,19866,False
17,wuf75-04,27963,0.0001,0.9,150,3,0.01538461538461533,False,8092,18187,False
18,wuf75-04,27963,0.0001,0.9,150,3,0.01538461538461533,False,12796,22891,False
19,wuf75-04,27963,0.0001,0.9,150,3,0.01538461538461533,False,9773,19868,False
20,wuf75-05,26915,0.0001,0.9,150,3,0.012307692307692353,False,8724,16800,False
21,wuf75-05,26915,0.0001,0.9,150,3,0.01538461538461533,False,9025,19120,False
22,wuf75-05,26915,0.0001,0.9,150,3,0.012307692307692353,False,10738,18814,False
23,wuf75-05,26915,0.0001,0.9,150,3,0.012307692307692353,False,12754,20830,False
24,wuf75-05,26915,0.0001,0.9,150,3,0.009230769230769265,False,16383,22440,False
25,wuf75-06,26138,0.0001,0.9,150,3,0.009230769230769265,False,10523,16580,False
26,wuf75-06,26138,0.0001,0.9,150,3,0.012307692307692353,False,11990,20066,False
27,wuf75-06,26138,0.0001,0.9,150,3,0.012307692307692353,False,9973,18049,False
28,wuf75-06,26138,0.0001,0.9,150,3,0.01538461538461533,False,6060,16155,False
29,wuf75-06,26138,0.0001,0.9,150,3,0.009230769230769265,False,13980,20037,False
30,wuf75-07,24975,0.0001,0.9,150,3,0.012307692307692353,False,9973,18049,False
31,wuf75-07,24975,0.0001,0.9,150,3,0.01538461538461533,False,5864,15959,False
32,wuf75-07,24975,0.0001,0.9,150,3,0.012307692307692353,False,9054,17130,False
33,wuf75-07,24975,0.0001,0.9,150,3,0.018461538461538418,False,6635,18749,False
34,wuf75-07,24975,0.0001,0.9,150,3,0.012307692307692353,False,8579,16655,False
35,wuf75-08,23891,0.0001,0.9,150,3,0.009230769230769265,False,11942,17999,False
36,wuf75-08,23891,0.0001,0.9,150,3,0.009230769230769265,False,11344,17401,False
37,wuf75-08,23891,0.0001,0.9,150,3,0.01538461538461533,False,6762,16857,False
38,wuf75-08,23891,0.0001,0.9,150,3,0.012307692307692353,False,6582,14658,False
39,wuf75-08,23891,0.0001,0.9,150,3,0.012307692307692353,False,8227,16303,False
40,wuf75-09,24954,0.0001,0.9,150,3,0.006153846153846176,False,15478,19516,False
41,wuf75-09,24954,0.0001,0.9,150,3,0.0,False,17899,17899,True
42,wuf75-09,24954,0.0001,0.9,150,3,0.012307692307692353,False,13529,21605,False
43,wuf75-09,24954,0.0001,0.9,150,3,0.003076923076923088,False,17538,19557,False
44,wuf75-09,24954,0.0001,0.9,150,3,0.0,False,18896,18896,True
45,wuf75-010,21790,0.0001,0.9,150,3,0.003076923076923088,False,15065,17084,False
46,wuf75-010,21790,0.0001,0.9,150,3,0.006153846153846176,False,11841,15879,False
47,wuf75-010,21790,0.0001,0.9,150,3,0.003076923076923088,False,14952,16971,False
48,wuf75-010,21790,0.0001,0.9,150,3,0.006153846153846176,False,12667,16705,False
49,wuf75-010,21790,0.0001,0.9,150,3,0.0,False,14716,14716,True
