inst,succ probSAT,of,steps probSAT,awg fined probSAT,mu probSAT,sig^2 probSAT
uf20-0614.cnf,1000,1000,133.028,133.028,4.41813,1.04916
uf20-0615.cnf,1000,1000,53.134,53.134,3.58743,0.80065
uf20-0616.cnf,1000,1000,93.46,93.46,3.92672,1.16179
uf20-0617.cnf,1000,1000,26.73,26.73,3.03261,0.50769
uf20-0618.cnf,1000,1000,89.185,89.185,4.08016,0.93065
uf20-0619.cnf,1000,1000,28.794,28.794,3.01035,0.68568
uf20-0620.cnf,1000,1000,19.311,19.311,2.72516,0.46897
uf20-0621.cnf,1000,1000,84.376,84.376,4.09098,0.76865
uf20-0622.cnf,1000,1000,70.181,70.181,3.50536,1.36031
uf20-0623.cnf,1000,1000,54.645,54.645,3.6123,0.73873
uf20-0624.cnf,1000,1000,41.384,41.384,3.30367,0.76337
uf20-0625.cnf,1000,1000,129.374,129.374,4.41184,1.03299
uf20-0626.cnf,1000,1000,40.888,40.888,3.45956,0.5299
uf20-0627.cnf,1000,1000,34.173,34.173,3.14478,0.76845
uf20-0628.cnf,1000,1000,98.589,98.589,3.85717,1.48685
uf20-0629.cnf,1000,1000,40.947,40.947,3.28014,0.83252
uf20-0630.cnf,993,1000,241.776,336.276,4.86647,1.49405
uf20-0631.cnf,1000,1000,83.409,83.409,3.97805,0.93221
uf20-0632.cnf,1000,1000,79.946,79.946,3.91354,1.04157
uf20-0633.cnf,1000,1000,35.433,35.433,3.26242,0.62075
uf20-0634.cnf,1000,1000,23.186,23.186,2.89791,0.51127
uf20-0635.cnf,1000,1000,74.327,74.327,3.94219,0.81821
uf20-0636.cnf,1000,1000,58.578,58.578,3.58654,0.99141
uf20-0637.cnf,1000,1000,52.589,52.589,3.54154,0.84954
uf20-0638.cnf,1000,1000,51.124,51.124,3.57261,0.77641
uf20-0639.cnf,1000,1000,111.628,111.628,4.12892,1.3292
uf20-0640.cnf,1000,1000,28.582,28.582,3.08807,0.53063
uf20-0641.cnf,1000,1000,81.909,81.909,3.87948,1.14646
uf20-0642.cnf,1000,1000,33.653,33.653,3.06588,0.81878
uf20-0643.cnf,1000,1000,36.263,36.263,3.25007,0.68853
uf20-0644.cnf,1000,1000,43.068,43.068,3.43449,0.70418
uf20-0645.cnf,1000,1000,86.484,86.484,3.90024,1.22698
uf20-0646.cnf,1000,1000,55.652,55.652,3.66996,0.71199
uf20-0647.cnf,1000,1000,75.817,75.817,3.97983,0.78792
uf20-0648.cnf,1000,1000,47.732,47.732,3.46991,0.81481
uf20-0649.cnf,1000,1000,37.582,37.582,3.18842,0.8474
uf20-0650.cnf,1000,1000,21.98,21.98,2.75086,0.60432
uf20-0651.cnf,1000,1000,45.539,45.539,3.40647,0.80521
uf20-0652.cnf,999,1000,166.668,180.168,4.61154,1.1973
uf20-0653.cnf,1000,1000,24.482,24.482,2.93103,0.50682
uf20-0654.cnf,1000,1000,88.834,88.834,3.91495,1.28927
uf20-0655.cnf,1000,1000,33.862,33.862,3.15019,0.73512
uf20-0656.cnf,1000,1000,141.138,141.138,4.447,1.17033
uf20-0657.cnf,1000,1000,31.495,31.495,3.17887,0.5739
uf20-0658.cnf,1000,1000,56.204,56.204,3.63923,0.82735
uf20-0659.cnf,1000,1000,25.674,25.674,2.91579,0.62941
uf20-0660.cnf,1000,1000,58.803,58.803,3.77447,0.63989
uf20-0661.cnf,1000,1000,43.451,43.451,3.47093,0.63371
uf20-0662.cnf,1000,1000,33.96,33.96,3.14821,0.78715
uf20-0663.cnf,1000,1000,50.529,50.529,3.568,0.73332
uf20-0664.cnf,1000,1000,105.282,105.282,4.16378,1.04888
uf20-0665.cnf,1000,1000,24.396,24.396,2.88833,0.61046
uf20-0666.cnf,999,1000,126.721,140.221,4.18472,1.36517
uf20-0667.cnf,1000,1000,106.744,106.744,4.11171,1.25969
uf20-0668.cnf,1000,1000,37.277,37.277,3.29042,0.65292
uf20-0669.cnf,1000,1000,94.0,94.0,4.09876,0.94159
uf20-0670.cnf,1000,1000,89.532,89.532,4.11239,0.85008
uf20-0671.cnf,1000,1000,56.927,56.927,3.43318,1.19816
