inst,succ gSAT2,of,steps gSAT2,awg fined gSAT2,mu gSAT2,sig^2 gSAT2
uf50-0195.cnf,1000,1000,46.068,46.068,3.59344,0.41967
uf50-0196.cnf,1000,1000,40.982,40.982,3.49093,0.39386
uf50-0197.cnf,1000,1000,39.957,39.957,3.46957,0.34845
uf50-0198.cnf,1000,1000,37.647,37.647,3.41983,0.35992
uf50-0199.cnf,1000,1000,39.318,39.318,3.42524,0.4052
uf50-0200.cnf,1000,1000,29.732,29.732,3.26903,0.22987
uf50-0201.cnf,1000,1000,47.002,47.002,3.55568,0.52171
uf50-0202.cnf,1000,1000,43.291,43.291,3.4547,0.47822
uf50-0203.cnf,1000,1000,54.517,54.517,3.71851,0.47782
uf50-0204.cnf,1000,1000,39.512,39.512,3.44625,0.38344
uf50-0205.cnf,1000,1000,40.095,40.095,3.48178,0.375
uf50-0206.cnf,1000,1000,30.708,30.708,3.2566,0.29585
uf50-0207.cnf,1000,1000,49.939,49.939,3.59508,0.52031
uf50-0208.cnf,999,1000,55.798,69.298,3.60011,0.56832
uf50-0209.cnf,1000,1000,29.585,29.585,3.26273,0.2288
uf50-0210.cnf,1000,1000,60.446,60.446,3.60795,0.69429
uf50-0211.cnf,1000,1000,45.396,45.396,3.58636,0.39753
uf50-0212.cnf,1000,1000,35.651,35.651,3.39709,0.31525
uf50-0213.cnf,1000,1000,39.755,39.755,3.44361,0.41071
uf50-0214.cnf,1000,1000,37.341,37.341,3.45081,0.30953
uf50-0215.cnf,1000,1000,39.102,39.102,3.44108,0.3977
uf50-0216.cnf,1000,1000,45.836,45.836,3.53396,0.44162
uf50-0217.cnf,1000,1000,40.679,40.679,3.50956,0.34408
uf50-0218.cnf,1000,1000,39.339,39.339,3.44118,0.40498
uf50-0219.cnf,1000,1000,52.438,52.438,3.65859,0.5296
uf50-0220.cnf,1000,1000,63.325,63.325,3.73158,0.70087
uf50-0221.cnf,1000,1000,52.509,52.509,3.67645,0.48752
uf50-0222.cnf,1000,1000,28.873,28.873,3.23929,0.22745
uf50-0223.cnf,1000,1000,47.788,47.788,3.57123,0.50714
uf50-0224.cnf,1000,1000,29.037,29.037,3.23098,0.24778
uf50-0225.cnf,1000,1000,43.452,43.452,3.56423,0.34344
uf50-0226.cnf,1000,1000,78.906,78.906,3.96865,0.72521
uf50-0227.cnf,1000,1000,39.056,39.056,3.4643,0.35787
uf50-0228.cnf,1000,1000,36.266,36.266,3.41209,0.30592
uf50-0229.cnf,1000,1000,58.778,58.778,3.686,0.60885
uf50-0230.cnf,1000,1000,39.803,39.803,3.46057,0.37537
uf50-0231.cnf,1000,1000,52.182,52.182,3.62773,0.54725
uf50-0232.cnf,1000,1000,31.942,31.942,3.29605,0.28814
uf50-0233.cnf,1000,1000,56.862,56.862,3.71503,0.55991
uf50-0234.cnf,1000,1000,45.194,45.194,3.51584,0.49299
uf50-0235.cnf,998,1000,66.787,93.787,3.75265,0.63467
uf50-0236.cnf,1000,1000,37.228,37.228,3.3851,0.39271
uf50-0237.cnf,1000,1000,31.114,31.114,3.25995,0.29757
uf50-0238.cnf,1000,1000,26.53,26.53,3.14982,0.2286
uf50-0239.cnf,1000,1000,29.763,29.763,3.24666,0.26892
uf50-0240.cnf,1000,1000,47.908,47.908,3.64584,0.40192
uf50-0241.cnf,1000,1000,53.261,53.261,3.71883,0.45431
uf50-0242.cnf,1000,1000,33.96,33.96,3.37383,0.27311
uf50-0243.cnf,1000,1000,32.465,32.465,3.33687,0.26123
uf50-0244.cnf,1000,1000,29.187,29.187,3.2391,0.24704
uf50-0245.cnf,1000,1000,28.027,28.027,3.20618,0.23742
uf50-0246.cnf,1000,1000,90.689,90.689,4.03241,0.80154
uf50-0247.cnf,1000,1000,38.649,38.649,3.49055,0.30549
uf50-0248.cnf,1000,1000,47.516,47.516,3.59141,0.45049
uf50-0249.cnf,1000,1000,49.726,49.726,3.65061,0.44266
uf50-0250.cnf,1000,1000,26.642,26.642,3.15273,0.23669
uf50-0251.cnf,1000,1000,52.476,52.476,3.59834,0.56367
uf50-0252.cnf,1000,1000,31.125,31.125,3.25937,0.31343
uf50-0253.cnf,1000,1000,32.076,32.076,3.33122,0.25521
uf50-0254.cnf,1000,1000,36.459,36.459,3.3962,0.35044
uf50-0255.cnf,1000,1000,27.785,27.785,3.20403,0.2203
uf50-0256.cnf,1000,1000,41.477,41.477,3.47157,0.41656
uf50-0257.cnf,1000,1000,34.211,34.211,3.35425,0.3108
uf50-0258.cnf,999,1000,162.416,175.916,4.42626,1.25056
uf50-0259.cnf,1000,1000,40.559,40.559,3.45589,0.44673
uf50-0260.cnf,1000,1000,27.328,27.328,3.15217,0.27198
uf50-0261.cnf,1000,1000,28.453,28.453,3.2167,0.24153
uf50-0262.cnf,1000,1000,33.966,33.966,3.35156,0.31407
uf50-0263.cnf,998,1000,91.733,118.733,3.92687,0.86312
uf50-0264.cnf,1000,1000,31.639,31.639,3.31438,0.26226
uf50-0265.cnf,1000,1000,34.267,34.267,3.38843,0.26217
uf50-0266.cnf,1000,1000,51.383,51.383,3.69224,0.42927
uf50-0267.cnf,1000,1000,84.24,84.24,4.09098,0.67604
uf50-0268.cnf,1000,1000,71.328,71.328,3.84478,0.67745
uf50-0269.cnf,1000,1000,33.523,33.523,3.34731,0.29818
uf50-0270.cnf,1000,1000,50.761,50.761,3.66301,0.48511
uf50-0271.cnf,1000,1000,34.847,34.847,3.35718,0.34247
uf50-0272.cnf,1000,1000,40.095,40.095,3.50488,0.3444
uf50-0273.cnf,1000,1000,32.424,32.424,3.28946,0.33417
uf50-0274.cnf,1000,1000,58.791,58.791,3.80389,0.48362
uf50-0275.cnf,1000,1000,45.743,45.743,3.57318,0.45542
uf50-0276.cnf,1000,1000,45.906,45.906,3.56064,0.41514
uf50-0277.cnf,1000,1000,28.173,28.173,3.2007,0.24873
uf50-0278.cnf,1000,1000,49.531,49.531,3.54215,0.54181
uf50-0279.cnf,1000,1000,32.654,32.654,3.33722,0.27545
uf50-0280.cnf,1000,1000,35.682,35.682,3.39154,0.32402
uf50-0281.cnf,1000,1000,34.917,34.917,3.3521,0.35088
uf50-0282.cnf,1000,1000,42.508,42.508,3.50091,0.42785
uf50-0283.cnf,1000,1000,70.412,70.412,3.80602,0.73531
uf50-0284.cnf,1000,1000,68.126,68.126,3.83262,0.67398
uf50-0285.cnf,996,1000,82.175,136.175,3.88367,0.71827
uf50-0286.cnf,1000,1000,47.426,47.426,3.62137,0.42638
uf50-0287.cnf,1000,1000,28.326,28.326,3.23002,0.21867
uf50-0288.cnf,1000,1000,31.128,31.128,3.29728,0.25508
uf50-0289.cnf,1000,1000,50.796,50.796,3.68267,0.41654
uf50-0290.cnf,1000,1000,56.171,56.171,3.63338,0.63865
uf50-0291.cnf,1000,1000,28.758,28.758,3.22125,0.25135
uf50-0292.cnf,1000,1000,46.771,46.771,3.57144,0.445
uf50-0293.cnf,1000,1000,70.767,70.767,3.83526,0.67446
uf50-0294.cnf,1000,1000,41.705,41.705,3.52825,0.36128
uf50-0295.cnf,1000,1000,35.05,35.05,3.41177,0.27349
uf50-0296.cnf,1000,1000,58.739,58.739,3.74521,0.54543
uf50-0297.cnf,992,1000,212.521,320.521,4.55311,1.57302
uf50-0298.cnf,1000,1000,52.062,52.062,3.66236,0.50365
uf50-0299.cnf,1000,1000,44.711,44.711,3.57762,0.40723
uf50-0300.cnf,1000,1000,37.412,37.412,3.398,0.39671
uf50-0301.cnf,1000,1000,27.375,27.375,3.18358,0.2376
uf50-0302.cnf,1000,1000,109.577,109.577,4.15913,0.98482
uf50-0303.cnf,1000,1000,51.933,51.933,3.63346,0.53516
uf50-0304.cnf,1000,1000,40.959,40.959,3.49501,0.38244
uf50-0305.cnf,1000,1000,30.997,30.997,3.28914,0.2708
uf50-0306.cnf,1000,1000,91.254,91.254,3.91593,0.98964
uf50-0307.cnf,1000,1000,53.097,53.097,3.70043,0.47702
uf50-0308.cnf,999,1000,73.685,87.185,3.82417,0.69801
uf50-0309.cnf,1000,1000,73.735,73.735,3.87754,0.66024
uf50-0310.cnf,998,1000,77.05,104.05,3.79778,0.71234
uf50-0311.cnf,1000,1000,52.766,52.766,3.65729,0.52896
uf50-0312.cnf,1000,1000,56.103,56.103,3.66116,0.6104
uf50-0313.cnf,1000,1000,29.557,29.557,3.21029,0.30201
uf50-0314.cnf,1000,1000,33.548,33.548,3.32073,0.33467
uf50-0315.cnf,1000,1000,34.153,34.153,3.32446,0.33131
uf50-0316.cnf,1000,1000,26.357,26.357,3.16652,0.19488
uf50-0317.cnf,1000,1000,32.192,32.192,3.31313,0.28504
uf50-0318.cnf,1000,1000,49.278,49.278,3.59113,0.48243
uf50-0319.cnf,1000,1000,52.483,52.483,3.65324,0.52777
uf50-0320.cnf,1000,1000,35.86,35.86,3.37902,0.3498
uf50-0321.cnf,994,1000,188.76,269.76,4.53623,1.24148
uf50-0322.cnf,994,1000,80.667,161.667,3.83303,0.65369
