inst,xing,winner
uf20-0779.cnf,8,probSAT
uf20-0780.cnf,8,probSAT
uf20-0781.cnf,37,probSAT
uf20-0782.cnf,41,probSAT
uf20-0783.cnf,None,probSAT
uf20-0784.cnf,55,probSAT
uf20-0785.cnf,10,probSAT
uf20-0786.cnf,41,probSAT
uf20-0787.cnf,77,probSAT
uf20-0788.cnf,6,probSAT
uf20-0789.cnf,20,probSAT
uf20-0790.cnf,28,probSAT
uf20-0791.cnf,3,probSAT
uf20-0792.cnf,36,probSAT
uf20-0793.cnf,7,probSAT
uf20-0794.cnf,13,probSAT
uf20-0795.cnf,35,probSAT
uf20-0796.cnf,35,probSAT
uf20-0797.cnf,None,probSAT
uf20-0798.cnf,56,probSAT
uf20-0799.cnf,433,gSAT2
uf20-0800.cnf,77,probSAT
uf20-0801.cnf,101,probSAT
uf20-0802.cnf,18,probSAT
uf20-0803.cnf,18,probSAT
uf20-0804.cnf,97,probSAT
uf20-0805.cnf,31,probSAT
uf20-0806.cnf,16,probSAT
uf20-0807.cnf,310,gSAT2
uf20-0808.cnf,24,probSAT
uf20-0809.cnf,35,probSAT
uf20-0810.cnf,6,probSAT
uf20-0811.cnf,30,probSAT
uf20-0812.cnf,81,probSAT
uf20-0813.cnf,75,probSAT
uf20-0814.cnf,78,probSAT
uf20-0815.cnf,104,probSAT
uf20-0816.cnf,20,probSAT
uf20-0817.cnf,60,probSAT
uf20-0818.cnf,18,probSAT
uf20-0819.cnf,13,probSAT
uf20-0820.cnf,74,probSAT
uf20-0821.cnf,29,probSAT
uf20-0822.cnf,151,gSAT2
uf20-0823.cnf,105,gSAT2
uf20-0824.cnf,46,probSAT
uf20-0825.cnf,71,probSAT
uf20-0826.cnf,257,probSAT
uf20-0827.cnf,43,probSAT
uf20-0828.cnf,50,probSAT
uf20-0829.cnf,9,probSAT
uf20-0830.cnf,14,probSAT
uf20-0831.cnf,14,probSAT
uf20-0832.cnf,22,probSAT
uf20-0833.cnf,9,probSAT
uf20-0834.cnf,20,probSAT
uf20-0835.cnf,27,probSAT
uf20-0836.cnf,18,probSAT
uf20-0837.cnf,83,probSAT
uf20-0838.cnf,26,probSAT
uf20-0839.cnf,20,probSAT
uf20-0840.cnf,61,probSAT
uf20-0841.cnf,34,probSAT
uf20-0842.cnf,6,probSAT
uf20-0843.cnf,71,probSAT
uf20-0844.cnf,15,probSAT
uf20-0845.cnf,198,probSAT
uf20-0846.cnf,17,probSAT
uf20-0847.cnf,24,probSAT
uf20-0848.cnf,31,probSAT
uf20-0849.cnf,66,probSAT
uf20-0850.cnf,521,gSAT2
uf20-0851.cnf,13,probSAT
uf20-0852.cnf,6,probSAT
uf20-0853.cnf,51,probSAT
uf20-0854.cnf,47,probSAT
uf20-0855.cnf,6,probSAT
uf20-0856.cnf,29,probSAT
uf20-0857.cnf,25,probSAT
uf20-0858.cnf,30,probSAT
uf20-0859.cnf,23,probSAT
uf20-0860.cnf,93,probSAT
uf20-0861.cnf,320,gSAT2
uf20-0862.cnf,None,probSAT
uf20-0863.cnf,4,probSAT
uf20-0864.cnf,14,probSAT
uf20-0865.cnf,9,probSAT
uf20-0866.cnf,11,probSAT
uf20-0867.cnf,1203,gSAT2
uf20-0868.cnf,None,probSAT
uf20-0869.cnf,36,probSAT
uf20-0870.cnf,61,probSAT
uf20-0871.cnf,16,probSAT
uf20-0872.cnf,5,probSAT
uf20-0873.cnf,29,probSAT
uf20-0874.cnf,25,probSAT
uf20-0875.cnf,24,probSAT
uf20-0876.cnf,16,probSAT
uf20-0877.cnf,30,probSAT
uf20-0878.cnf,None,probSAT
uf20-0879.cnf,None,probSAT
uf20-0880.cnf,49,probSAT
uf20-0881.cnf,21,probSAT
uf20-0882.cnf,40,probSAT
uf20-0883.cnf,None,probSAT
uf20-0884.cnf,None,probSAT
uf20-0885.cnf,8,probSAT
uf20-0886.cnf,46,probSAT
uf20-0887.cnf,22,probSAT
uf20-0888.cnf,41,probSAT
uf20-0889.cnf,12,probSAT
uf20-0890.cnf,50,probSAT
uf20-0891.cnf,7,probSAT
uf20-0892.cnf,20,probSAT
uf20-0893.cnf,36,probSAT
uf20-0894.cnf,44,probSAT
uf20-0895.cnf,19,probSAT
uf20-0896.cnf,22,probSAT
uf20-0897.cnf,20,probSAT
uf20-0898.cnf,164,probSAT
uf20-0899.cnf,7,probSAT
uf20-0900.cnf,33,probSAT
uf20-0901.cnf,17,probSAT
uf20-0902.cnf,9,probSAT
uf20-0903.cnf,9,probSAT
uf20-0904.cnf,15,probSAT
uf20-0905.cnf,8,probSAT
uf20-0906.cnf,36,probSAT
uf20-0907.cnf,24,probSAT
uf20-0908.cnf,4,probSAT
uf20-0909.cnf,20,probSAT
uf20-0910.cnf,213,gSAT2
uf20-0911.cnf,91,gSAT2
uf20-0912.cnf,34,probSAT
uf20-0913.cnf,19,probSAT
uf20-0914.cnf,2,probSAT
uf20-0915.cnf,35,probSAT
uf20-0916.cnf,15,probSAT
uf20-0917.cnf,34,probSAT
uf20-0918.cnf,86,probSAT
uf20-0919.cnf,36,probSAT
uf20-0920.cnf,25,probSAT
uf20-0921.cnf,43,probSAT
uf20-0922.cnf,2,probSAT
uf20-0923.cnf,29,probSAT
uf20-0924.cnf,158,probSAT
uf20-0925.cnf,531,gSAT2
uf20-0926.cnf,8,probSAT
uf20-0927.cnf,4,probSAT
uf20-0928.cnf,22,probSAT
uf20-0929.cnf,21,probSAT
uf20-0930.cnf,19,probSAT
uf20-0931.cnf,172,probSAT
uf20-0932.cnf,179,probSAT
uf20-0933.cnf,88,probSAT
uf20-0934.cnf,13,probSAT
uf20-0935.cnf,38,probSAT
uf20-0936.cnf,115,probSAT
uf20-0937.cnf,44,probSAT
uf20-0938.cnf,19,probSAT
uf20-0939.cnf,11,probSAT
uf20-0940.cnf,75,probSAT
uf20-0941.cnf,31,probSAT
uf20-0942.cnf,23,probSAT
uf20-0943.cnf,30,probSAT
uf20-0944.cnf,28,probSAT
uf20-0945.cnf,61,probSAT
uf20-0946.cnf,38,probSAT
uf20-0947.cnf,15,probSAT
uf20-0948.cnf,4,probSAT
uf20-0949.cnf,581,gSAT2
uf20-0950.cnf,38,probSAT
uf20-0951.cnf,37,probSAT
uf20-0952.cnf,59,probSAT
uf20-0953.cnf,541,gSAT2
uf20-0954.cnf,35,probSAT
uf20-0955.cnf,6,probSAT
uf20-0956.cnf,1182,probSAT
uf20-0957.cnf,22,probSAT
uf20-0958.cnf,26,probSAT
uf20-0959.cnf,24,probSAT
uf20-0960.cnf,19,probSAT
uf20-0961.cnf,45,probSAT
uf20-0962.cnf,71,probSAT
uf20-0963.cnf,15,probSAT
uf20-0964.cnf,29,probSAT
uf20-0965.cnf,91,probSAT
uf20-0966.cnf,9,probSAT
uf20-0967.cnf,12,probSAT
uf20-0968.cnf,29,probSAT
uf20-0969.cnf,3,probSAT
uf20-0970.cnf,15,probSAT
uf20-0971.cnf,42,probSAT
uf20-0972.cnf,1,probSAT
uf20-0973.cnf,9,probSAT
uf20-0974.cnf,120,probSAT
uf20-0975.cnf,418,probSAT
uf20-0976.cnf,586,probSAT
uf20-0977.cnf,125,probSAT
uf20-0978.cnf,43,probSAT
uf20-0979.cnf,31,probSAT
uf20-0980.cnf,3,probSAT
uf20-0981.cnf,23,probSAT
uf20-0982.cnf,79,probSAT
uf20-0983.cnf,71,probSAT
uf20-0984.cnf,7,probSAT
uf20-0985.cnf,284,probSAT
uf20-0986.cnf,8,probSAT
uf20-0987.cnf,None,probSAT
uf20-0988.cnf,53,probSAT
uf20-0989.cnf,36,probSAT
uf20-0990.cnf,73,probSAT
uf20-0991.cnf,107,gSAT2
uf20-0992.cnf,58,probSAT
uf20-0993.cnf,45,probSAT
uf20-0994.cnf,35,probSAT
uf20-0995.cnf,31,probSAT
uf20-0996.cnf,29,probSAT
uf20-0997.cnf,232,gSAT2
uf20-0998.cnf,76,probSAT
uf20-0999.cnf,36,probSAT
uf20-01000.cnf,18,probSAT
uf50-01.cnf,36,probSAT
uf50-02.cnf,60,probSAT
uf50-03.cnf,37,probSAT
uf50-04.cnf,26,probSAT
uf50-05.cnf,22,probSAT
uf50-06.cnf,52,probSAT
uf50-07.cnf,40,probSAT
uf50-08.cnf,36,probSAT
uf50-09.cnf,189,gSAT2
uf50-010.cnf,38,probSAT
uf50-011.cnf,34,probSAT
uf50-012.cnf,31,probSAT
uf50-013.cnf,70,probSAT
uf50-014.cnf,27,probSAT
uf50-015.cnf,37,probSAT
uf50-016.cnf,40,probSAT
uf50-017.cnf,34,probSAT
uf50-018.cnf,41,probSAT
uf50-019.cnf,23,probSAT
uf50-020.cnf,29,probSAT
uf50-021.cnf,20,probSAT
uf50-022.cnf,16,probSAT
uf50-023.cnf,39,probSAT
uf50-024.cnf,33,probSAT
uf50-025.cnf,29,probSAT
uf50-026.cnf,38,probSAT
uf50-027.cnf,29,probSAT
uf50-028.cnf,23,probSAT
uf50-029.cnf,25,probSAT
uf50-030.cnf,36,probSAT
uf50-031.cnf,97,probSAT
uf50-032.cnf,58,probSAT
uf50-033.cnf,40,probSAT
uf50-034.cnf,16,probSAT
uf50-035.cnf,35,probSAT
uf50-036.cnf,None,probSAT
uf50-037.cnf,14,probSAT
uf50-038.cnf,36,probSAT
uf50-039.cnf,24,probSAT
uf50-040.cnf,40,probSAT
uf50-041.cnf,27,probSAT
uf50-042.cnf,172,probSAT
uf50-043.cnf,21,probSAT
uf50-044.cnf,47,probSAT
uf50-045.cnf,24,probSAT
uf50-046.cnf,43,probSAT
uf50-047.cnf,13,probSAT
uf50-048.cnf,33,probSAT
uf50-049.cnf,27,probSAT
uf50-050.cnf,30,probSAT
uf50-051.cnf,36,probSAT
uf50-052.cnf,40,probSAT
uf50-053.cnf,22,probSAT
uf50-054.cnf,31,probSAT
uf50-055.cnf,39,probSAT
uf50-056.cnf,31,probSAT
uf50-057.cnf,30,probSAT
uf50-058.cnf,23,probSAT
uf50-059.cnf,31,probSAT
uf50-060.cnf,32,probSAT
uf50-061.cnf,48,probSAT
uf50-062.cnf,22,probSAT
uf50-063.cnf,224,probSAT
uf50-064.cnf,31,probSAT
uf50-065.cnf,55,probSAT
uf50-066.cnf,20,probSAT
uf50-067.cnf,14,probSAT
uf50-068.cnf,30,probSAT
uf50-069.cnf,54,probSAT
uf50-070.cnf,50,probSAT
uf50-071.cnf,135,gSAT2
uf50-072.cnf,24,probSAT
uf50-073.cnf,92,gSAT2
uf50-074.cnf,17,probSAT
uf50-075.cnf,22,probSAT
uf50-076.cnf,56,probSAT
uf50-077.cnf,26,probSAT
uf50-078.cnf,32,probSAT
uf50-079.cnf,27,probSAT
uf50-080.cnf,30,probSAT
uf50-081.cnf,67,probSAT
uf50-082.cnf,28,probSAT
uf50-083.cnf,27,probSAT
uf50-084.cnf,55,probSAT
uf50-085.cnf,26,probSAT
uf50-086.cnf,34,probSAT
uf50-087.cnf,33,probSAT
uf50-088.cnf,98,gSAT2
uf50-089.cnf,40,probSAT
uf50-090.cnf,23,probSAT
uf50-091.cnf,21,probSAT
uf50-092.cnf,42,probSAT
uf50-093.cnf,32,probSAT
uf50-094.cnf,258,gSAT2
uf50-095.cnf,45,probSAT
uf50-096.cnf,41,probSAT
uf50-097.cnf,22,probSAT
uf50-098.cnf,26,probSAT
uf50-099.cnf,23,probSAT
uf50-0100.cnf,36,probSAT
uf50-0101.cnf,20,probSAT
uf50-0102.cnf,25,probSAT
uf50-0103.cnf,24,probSAT
uf50-0104.cnf,36,probSAT
uf50-0105.cnf,28,probSAT
uf50-0106.cnf,37,probSAT
uf50-0107.cnf,19,probSAT
uf50-0108.cnf,30,probSAT
uf50-0109.cnf,50,probSAT
uf50-0110.cnf,49,probSAT
uf50-0111.cnf,24,probSAT
uf50-0112.cnf,28,probSAT
uf50-0113.cnf,36,probSAT
uf50-0114.cnf,40,probSAT
uf50-0115.cnf,46,probSAT
uf50-0116.cnf,32,probSAT
uf50-0117.cnf,25,probSAT
uf50-0118.cnf,193,probSAT
uf50-0119.cnf,21,probSAT
uf50-0120.cnf,31,probSAT
uf50-0121.cnf,27,probSAT
uf50-0122.cnf,38,probSAT
uf50-0123.cnf,35,probSAT
uf50-0124.cnf,37,probSAT
uf50-0125.cnf,50,probSAT
uf50-0126.cnf,198,probSAT
uf50-0127.cnf,26,probSAT
uf50-0128.cnf,40,probSAT
uf50-0129.cnf,36,probSAT
uf50-0130.cnf,31,probSAT
uf50-0131.cnf,44,probSAT
uf50-0132.cnf,31,probSAT
uf50-0133.cnf,29,probSAT
uf50-0134.cnf,28,probSAT
uf50-0135.cnf,52,probSAT
uf50-0136.cnf,27,probSAT
uf50-0137.cnf,47,probSAT
uf50-0138.cnf,24,probSAT
uf50-0139.cnf,32,probSAT
uf50-0140.cnf,37,probSAT
uf50-0141.cnf,34,probSAT
uf50-0142.cnf,101,probSAT
uf50-0143.cnf,36,probSAT
uf50-0144.cnf,31,probSAT
uf50-0145.cnf,32,probSAT
uf50-0146.cnf,44,probSAT
uf50-0147.cnf,45,probSAT
uf50-0148.cnf,37,probSAT
uf50-0149.cnf,50,probSAT
uf50-0150.cnf,39,probSAT
uf50-0151.cnf,24,probSAT
uf50-0152.cnf,27,probSAT
uf50-0153.cnf,43,probSAT
uf50-0154.cnf,29,probSAT
uf50-0155.cnf,52,probSAT
uf50-0156.cnf,53,probSAT
uf50-0157.cnf,30,probSAT
uf50-0158.cnf,24,probSAT
uf50-0159.cnf,21,probSAT
uf50-0160.cnf,28,probSAT
uf50-0161.cnf,25,probSAT
uf50-0162.cnf,23,probSAT
uf50-0163.cnf,20,probSAT
uf50-0164.cnf,40,probSAT
uf50-0165.cnf,158,gSAT2
uf50-0166.cnf,36,probSAT
uf50-0167.cnf,70,probSAT
uf50-0168.cnf,38,probSAT
uf50-0169.cnf,23,probSAT
uf50-0170.cnf,102,probSAT
uf50-0171.cnf,24,probSAT
uf50-0172.cnf,52,probSAT
uf50-0173.cnf,33,probSAT
uf50-0174.cnf,39,probSAT
uf50-0175.cnf,43,probSAT
uf50-0176.cnf,43,probSAT
uf50-0177.cnf,42,probSAT
uf50-0178.cnf,20,probSAT
uf50-0179.cnf,26,probSAT
uf50-0180.cnf,29,probSAT
uf50-0181.cnf,34,probSAT
uf50-0182.cnf,34,probSAT
uf50-0183.cnf,193,gSAT2
uf50-0184.cnf,44,probSAT
uf50-0185.cnf,83,probSAT
uf50-0186.cnf,36,probSAT
uf50-0187.cnf,35,probSAT
uf50-0188.cnf,24,probSAT
uf50-0189.cnf,135,probSAT
uf50-0190.cnf,26,probSAT
uf50-0191.cnf,40,probSAT
uf50-0192.cnf,14,probSAT
uf50-0193.cnf,33,probSAT
uf50-0194.cnf,20,probSAT
uf50-0195.cnf,33,probSAT
uf50-0196.cnf,22,probSAT
uf50-0197.cnf,31,probSAT
uf50-0198.cnf,27,probSAT
uf50-0199.cnf,66,probSAT
uf50-0200.cnf,34,probSAT
uf50-0201.cnf,37,probSAT
uf50-0202.cnf,50,probSAT
uf50-0203.cnf,16,probSAT
uf50-0204.cnf,27,probSAT
uf50-0205.cnf,36,probSAT
uf50-0206.cnf,25,probSAT
uf50-0207.cnf,44,probSAT
uf50-0208.cnf,34,probSAT
uf50-0209.cnf,65,probSAT
uf50-0210.cnf,31,probSAT
uf50-0211.cnf,18,probSAT
uf50-0212.cnf,26,probSAT
uf50-0213.cnf,30,probSAT
uf50-0214.cnf,208,gSAT2
uf50-0215.cnf,40,probSAT
uf50-0216.cnf,79,probSAT
uf50-0217.cnf,None,probSAT
uf50-0218.cnf,27,probSAT
uf50-0219.cnf,33,probSAT
uf50-0220.cnf,47,probSAT
uf50-0221.cnf,40,probSAT
uf50-0222.cnf,33,probSAT
uf50-0223.cnf,28,probSAT
uf50-0224.cnf,38,probSAT
uf50-0225.cnf,51,probSAT
uf50-0226.cnf,26,probSAT
uf50-0227.cnf,37,probSAT
uf50-0228.cnf,31,probSAT
uf50-0229.cnf,27,probSAT
uf50-0230.cnf,37,probSAT
uf50-0231.cnf,52,probSAT
uf50-0232.cnf,32,probSAT
uf50-0233.cnf,29,probSAT
uf50-0234.cnf,40,probSAT
uf50-0235.cnf,32,probSAT
uf50-0236.cnf,28,probSAT
uf50-0237.cnf,25,probSAT
uf50-0238.cnf,44,probSAT
uf50-0239.cnf,17,probSAT
uf50-0240.cnf,35,probSAT
uf50-0241.cnf,40,probSAT
uf50-0242.cnf,59,probSAT
uf50-0243.cnf,129,probSAT
uf50-0244.cnf,27,probSAT
uf50-0245.cnf,24,probSAT
uf50-0246.cnf,17,probSAT
uf50-0247.cnf,227,probSAT
uf50-0248.cnf,39,probSAT
uf50-0249.cnf,31,probSAT
uf50-0250.cnf,134,probSAT
uf50-0251.cnf,44,probSAT
uf50-0252.cnf,18,probSAT
uf50-0253.cnf,25,probSAT
uf50-0254.cnf,34,probSAT
uf50-0255.cnf,32,probSAT
uf50-0256.cnf,21,probSAT
uf50-0257.cnf,20,probSAT
uf50-0258.cnf,46,probSAT
uf50-0259.cnf,253,probSAT
uf50-0260.cnf,32,probSAT
uf50-0261.cnf,146,probSAT
uf50-0262.cnf,38,probSAT
uf50-0263.cnf,34,probSAT
uf50-0264.cnf,94,probSAT
uf50-0265.cnf,45,probSAT
uf50-0266.cnf,29,probSAT
uf50-0267.cnf,29,probSAT
uf50-0268.cnf,32,probSAT
uf50-0269.cnf,26,probSAT
uf50-0270.cnf,29,probSAT
uf50-0271.cnf,36,probSAT
uf50-0272.cnf,22,probSAT
uf50-0273.cnf,30,probSAT
uf50-0274.cnf,34,probSAT
uf50-0275.cnf,38,probSAT
uf50-0276.cnf,21,probSAT
uf50-0277.cnf,27,probSAT
uf50-0278.cnf,35,probSAT
uf50-0279.cnf,122,probSAT
uf50-0280.cnf,50,probSAT
uf50-0281.cnf,24,probSAT
uf50-0282.cnf,48,probSAT
uf50-0283.cnf,40,probSAT
uf50-0284.cnf,526,gSAT2
uf50-0285.cnf,49,probSAT
uf50-0286.cnf,49,probSAT
uf50-0287.cnf,84,probSAT
uf50-0288.cnf,200,gSAT2
uf50-0289.cnf,24,probSAT
uf50-0290.cnf,696,gSAT2
uf50-0291.cnf,33,probSAT
uf50-0292.cnf,34,probSAT
uf50-0293.cnf,50,probSAT
uf50-0294.cnf,287,gSAT2
uf50-0295.cnf,34,probSAT
uf50-0296.cnf,25,probSAT
uf50-0297.cnf,55,probSAT
uf50-0298.cnf,36,probSAT
uf50-0299.cnf,46,probSAT
uf50-0300.cnf,76,probSAT
uf50-0301.cnf,107,probSAT
uf50-0302.cnf,596,probSAT
uf50-0303.cnf,460,probSAT
uf50-0304.cnf,27,probSAT
uf50-0305.cnf,34,probSAT
uf50-0306.cnf,52,probSAT
uf50-0307.cnf,60,probSAT
uf50-0308.cnf,23,probSAT
uf50-0309.cnf,35,probSAT
uf50-0310.cnf,39,probSAT
uf50-0311.cnf,57,probSAT
uf50-0312.cnf,23,probSAT
uf50-0313.cnf,35,probSAT
uf50-0314.cnf,31,probSAT
uf50-0315.cnf,19,probSAT
uf50-0316.cnf,105,probSAT
uf50-0317.cnf,29,probSAT
uf50-0318.cnf,42,probSAT
uf50-0319.cnf,22,probSAT
uf50-0320.cnf,25,probSAT
uf50-0321.cnf,34,probSAT
uf50-0322.cnf,36,probSAT
uf50-0323.cnf,18,probSAT
uf50-0324.cnf,19,probSAT
uf50-0325.cnf,36,probSAT
uf50-0326.cnf,33,probSAT
uf50-0327.cnf,16,probSAT
uf50-0328.cnf,18,probSAT
uf50-0329.cnf,37,probSAT
uf50-0330.cnf,34,probSAT
uf50-0331.cnf,35,probSAT
uf50-0332.cnf,63,probSAT
uf50-0333.cnf,28,probSAT
uf50-0334.cnf,46,probSAT
uf50-0335.cnf,35,probSAT
uf50-0336.cnf,40,probSAT
uf50-0337.cnf,31,probSAT
uf50-0338.cnf,18,probSAT
uf50-0339.cnf,55,probSAT
uf50-0340.cnf,64,probSAT
uf50-0341.cnf,34,probSAT
uf50-0342.cnf,21,probSAT
uf50-0343.cnf,55,probSAT
uf50-0344.cnf,23,probSAT
uf50-0345.cnf,39,probSAT
uf50-0346.cnf,44,probSAT
uf50-0347.cnf,29,probSAT
uf50-0348.cnf,55,probSAT
uf50-0349.cnf,37,probSAT
uf50-0350.cnf,39,probSAT
uf50-0351.cnf,39,probSAT
uf50-0352.cnf,23,probSAT
uf50-0353.cnf,40,probSAT
uf50-0354.cnf,160,gSAT2
uf50-0355.cnf,43,probSAT
uf50-0356.cnf,24,probSAT
uf50-0357.cnf,65,probSAT
uf50-0358.cnf,23,probSAT
uf50-0359.cnf,362,gSAT2
uf50-0360.cnf,30,probSAT
uf50-0361.cnf,20,probSAT
uf50-0362.cnf,34,probSAT
uf50-0363.cnf,32,probSAT
uf50-0364.cnf,43,probSAT
uf50-0365.cnf,28,probSAT
uf50-0366.cnf,50,probSAT
uf50-0367.cnf,16,probSAT
uf50-0368.cnf,55,probSAT
uf50-0369.cnf,23,probSAT
uf50-0370.cnf,22,probSAT
uf50-0371.cnf,22,probSAT
uf50-0372.cnf,41,probSAT
uf50-0373.cnf,35,probSAT
uf50-0374.cnf,39,probSAT
uf50-0375.cnf,60,probSAT
uf50-0376.cnf,41,probSAT
uf50-0377.cnf,19,probSAT
uf50-0378.cnf,38,probSAT
uf50-0379.cnf,22,probSAT
uf50-0380.cnf,46,probSAT
uf50-0381.cnf,40,probSAT
uf50-0382.cnf,18,probSAT
uf50-0383.cnf,20,probSAT
uf50-0384.cnf,171,probSAT
uf50-0385.cnf,33,probSAT
uf50-0386.cnf,56,probSAT
uf50-0387.cnf,30,probSAT
uf50-0388.cnf,48,probSAT
uf50-0389.cnf,33,probSAT
uf50-0390.cnf,30,probSAT
uf50-0391.cnf,35,probSAT
uf50-0392.cnf,50,probSAT
uf50-0393.cnf,25,probSAT
uf50-0394.cnf,35,probSAT
uf50-0395.cnf,31,probSAT
uf50-0396.cnf,50,probSAT
uf50-0397.cnf,29,probSAT
uf50-0398.cnf,30,probSAT
uf50-0399.cnf,30,probSAT
uf50-0400.cnf,49,probSAT
uf50-0401.cnf,10,probSAT
uf50-0402.cnf,39,probSAT
uf50-0403.cnf,49,probSAT
uf50-0404.cnf,34,probSAT
uf50-0405.cnf,28,probSAT
uf50-0406.cnf,26,probSAT
uf50-0407.cnf,27,probSAT
uf50-0408.cnf,30,probSAT
uf50-0409.cnf,188,probSAT
uf50-0410.cnf,215,probSAT
uf50-0411.cnf,22,probSAT
uf50-0412.cnf,33,probSAT
uf50-0413.cnf,25,probSAT
uf50-0414.cnf,None,probSAT
uf50-0415.cnf,61,probSAT
uf50-0416.cnf,25,probSAT
uf50-0417.cnf,39,probSAT
uf50-0418.cnf,33,probSAT
uf50-0419.cnf,34,probSAT
uf50-0420.cnf,52,probSAT
uf50-0421.cnf,60,probSAT
uf50-0422.cnf,49,probSAT
uf50-0423.cnf,23,probSAT
uf50-0424.cnf,29,probSAT
uf50-0425.cnf,47,probSAT
uf50-0426.cnf,25,probSAT
uf50-0427.cnf,56,probSAT
uf50-0428.cnf,34,probSAT
uf50-0429.cnf,27,probSAT
uf50-0430.cnf,None,probSAT
uf50-0431.cnf,71,probSAT
uf50-0432.cnf,137,probSAT
uf50-0433.cnf,41,probSAT
uf50-0434.cnf,35,probSAT
uf50-0435.cnf,22,probSAT
uf50-0436.cnf,183,gSAT2
uf50-0437.cnf,45,probSAT
uf50-0438.cnf,41,probSAT
uf50-0439.cnf,66,probSAT
uf50-0440.cnf,27,probSAT
uf50-0441.cnf,33,probSAT
uf50-0442.cnf,51,probSAT
uf50-0443.cnf,28,probSAT
uf50-0444.cnf,58,probSAT
uf50-0445.cnf,42,probSAT
uf50-0446.cnf,35,probSAT
uf50-0447.cnf,132,probSAT
uf50-0448.cnf,23,probSAT
uf50-0449.cnf,53,probSAT
uf50-0450.cnf,31,probSAT
uf50-0451.cnf,54,probSAT
uf50-0452.cnf,25,probSAT
uf50-0453.cnf,347,probSAT
uf50-0454.cnf,220,gSAT2
uf50-0455.cnf,44,probSAT
uf50-0456.cnf,33,probSAT
uf50-0457.cnf,18,probSAT
uf50-0458.cnf,28,probSAT
uf50-0459.cnf,116,probSAT
uf50-0460.cnf,297,probSAT
uf50-0461.cnf,34,probSAT
uf50-0462.cnf,46,probSAT
uf50-0463.cnf,56,probSAT
uf50-0464.cnf,34,probSAT
uf50-0465.cnf,38,probSAT
uf50-0466.cnf,26,probSAT
uf50-0467.cnf,29,probSAT
uf50-0468.cnf,31,probSAT
uf50-0469.cnf,55,probSAT
uf50-0470.cnf,54,probSAT
uf50-0471.cnf,17,probSAT
uf50-0472.cnf,37,probSAT
uf50-0473.cnf,20,probSAT
uf50-0474.cnf,45,probSAT
uf50-0475.cnf,31,probSAT
uf50-0476.cnf,27,probSAT
uf50-0477.cnf,52,probSAT
uf50-0478.cnf,30,probSAT
uf50-0479.cnf,19,probSAT
uf50-0480.cnf,43,probSAT
uf50-0481.cnf,22,probSAT
uf50-0482.cnf,31,probSAT
uf50-0483.cnf,32,probSAT
uf50-0484.cnf,28,probSAT
uf50-0485.cnf,26,probSAT
uf50-0486.cnf,161,probSAT
uf50-0487.cnf,28,probSAT
uf50-0488.cnf,40,probSAT
uf50-0489.cnf,38,probSAT
uf50-0490.cnf,36,probSAT
uf50-0491.cnf,32,probSAT
uf50-0492.cnf,33,probSAT
uf50-0493.cnf,22,probSAT
uf50-0494.cnf,24,probSAT
uf50-0495.cnf,62,probSAT
uf50-0496.cnf,31,probSAT
uf50-0497.cnf,85,probSAT
uf50-0498.cnf,18,probSAT
uf50-0499.cnf,33,probSAT
uf50-0500.cnf,21,probSAT
uf50-0501.cnf,35,probSAT
uf50-0502.cnf,45,probSAT
uf50-0503.cnf,8,probSAT
uf50-0504.cnf,36,probSAT
uf50-0505.cnf,28,probSAT
uf50-0506.cnf,31,probSAT
uf50-0507.cnf,30,probSAT
uf50-0508.cnf,32,probSAT
uf50-0509.cnf,19,probSAT
uf50-0510.cnf,32,probSAT
uf50-0511.cnf,42,probSAT
uf50-0512.cnf,26,probSAT
uf50-0513.cnf,36,probSAT
uf50-0514.cnf,38,probSAT
uf50-0515.cnf,42,probSAT
uf50-0516.cnf,46,probSAT
uf50-0517.cnf,277,probSAT
uf50-0518.cnf,41,probSAT
uf50-0519.cnf,49,probSAT
uf50-0520.cnf,403,gSAT2
uf50-0521.cnf,149,gSAT2
uf50-0522.cnf,28,probSAT
uf50-0523.cnf,30,probSAT
uf50-0524.cnf,39,probSAT
uf50-0525.cnf,22,probSAT
uf50-0526.cnf,63,probSAT
uf50-0527.cnf,20,probSAT
uf50-0528.cnf,20,probSAT
uf50-0529.cnf,27,probSAT
uf50-0530.cnf,27,probSAT
uf50-0531.cnf,40,probSAT
uf50-0532.cnf,29,probSAT
uf50-0533.cnf,49,probSAT
uf50-0534.cnf,27,probSAT
uf50-0535.cnf,431,gSAT2
uf50-0536.cnf,33,probSAT
uf50-0537.cnf,55,probSAT
uf50-0538.cnf,27,probSAT
uf50-0539.cnf,37,probSAT
uf50-0540.cnf,32,probSAT
uf50-0541.cnf,65,probSAT
uf50-0542.cnf,56,probSAT
uf50-0543.cnf,28,probSAT
uf50-0544.cnf,39,probSAT
uf50-0545.cnf,19,probSAT
uf50-0546.cnf,32,probSAT
uf50-0547.cnf,35,probSAT
uf50-0548.cnf,40,probSAT
uf50-0549.cnf,30,probSAT
uf50-0550.cnf,180,probSAT
uf50-0551.cnf,24,probSAT
uf50-0552.cnf,665,gSAT2
uf50-0553.cnf,27,probSAT
uf50-0554.cnf,36,probSAT
uf50-0555.cnf,35,probSAT
uf50-0556.cnf,56,probSAT
uf50-0557.cnf,29,probSAT
uf50-0558.cnf,33,probSAT
