inst,xing,winner
uf20-0183.cnf,21,probSAT
uf20-0184.cnf,17,probSAT
uf20-0185.cnf,5,probSAT
uf20-0186.cnf,235,gSAT2
uf20-0187.cnf,37,probSAT
uf20-0188.cnf,9,probSAT
uf20-0189.cnf,46,probSAT
uf20-0190.cnf,21,probSAT
uf20-0191.cnf,33,probSAT
uf20-0192.cnf,5,probSAT
uf20-0193.cnf,30,probSAT
uf20-0194.cnf,12,probSAT
uf20-0195.cnf,13,probSAT
uf20-0196.cnf,13,probSAT
uf20-0197.cnf,777,gSAT2
uf20-0198.cnf,55,probSAT
uf20-0199.cnf,18,probSAT
uf20-0200.cnf,70,probSAT
uf20-0201.cnf,17,probSAT
uf20-0202.cnf,30,probSAT
uf20-0203.cnf,20,probSAT
uf20-0204.cnf,136,probSAT
uf20-0205.cnf,None,probSAT
uf20-0206.cnf,21,probSAT
uf20-0207.cnf,80,probSAT
uf20-0208.cnf,13,probSAT
uf20-0209.cnf,79,probSAT
uf20-0210.cnf,27,probSAT
uf20-0211.cnf,33,probSAT
uf20-0212.cnf,21,probSAT
uf20-0213.cnf,121,gSAT2
uf20-0214.cnf,22,probSAT
uf20-0215.cnf,39,probSAT
uf20-0216.cnf,18,probSAT
uf20-0217.cnf,9,probSAT
uf20-0218.cnf,181,probSAT
uf20-0219.cnf,26,probSAT
uf20-0220.cnf,70,probSAT
uf20-0221.cnf,12,probSAT
uf20-0222.cnf,77,probSAT
uf20-0223.cnf,24,probSAT
uf20-0224.cnf,73,probSAT
uf20-0225.cnf,5,probSAT
uf20-0226.cnf,34,probSAT
uf20-0227.cnf,None,probSAT
uf20-0228.cnf,28,probSAT
uf20-0229.cnf,16,probSAT
uf20-0230.cnf,18,probSAT
uf20-0231.cnf,36,probSAT
uf20-0232.cnf,710,probSAT
uf20-0233.cnf,32,probSAT
uf20-0234.cnf,18,probSAT
uf20-0235.cnf,15,probSAT
uf20-0236.cnf,38,probSAT
uf20-0237.cnf,35,probSAT
uf20-0238.cnf,None,probSAT
uf20-0239.cnf,518,gSAT2
uf20-0240.cnf,5,probSAT
uf20-0241.cnf,18,probSAT
uf20-0242.cnf,225,gSAT2
uf20-0243.cnf,300,probSAT
uf20-0244.cnf,39,probSAT
uf20-0245.cnf,25,probSAT
uf20-0246.cnf,9,probSAT
uf20-0247.cnf,71,probSAT
uf20-0248.cnf,None,probSAT
uf20-0249.cnf,6,probSAT
uf20-0250.cnf,22,probSAT
uf20-0251.cnf,80,probSAT
uf20-0252.cnf,16,probSAT
uf20-0253.cnf,27,probSAT
uf20-0254.cnf,20,probSAT
uf20-0255.cnf,25,probSAT
uf20-0256.cnf,23,probSAT
uf20-0257.cnf,23,probSAT
uf20-0258.cnf,44,probSAT
uf20-0259.cnf,28,probSAT
uf20-0260.cnf,20,probSAT
uf20-0261.cnf,42,probSAT
uf20-0262.cnf,47,gSAT2
uf20-0263.cnf,66,probSAT
uf20-0264.cnf,20,probSAT
uf20-0265.cnf,265,probSAT
uf20-0266.cnf,11,probSAT
uf20-0267.cnf,19,probSAT
uf20-0268.cnf,10,probSAT
uf20-0269.cnf,252,probSAT
uf20-0270.cnf,78,probSAT
uf20-0271.cnf,52,probSAT
uf20-0272.cnf,34,probSAT
uf20-0273.cnf,None,probSAT
uf20-0274.cnf,25,probSAT
uf20-0275.cnf,33,gSAT2
uf20-0276.cnf,132,probSAT
uf20-0277.cnf,50,probSAT
uf20-0278.cnf,14,probSAT
uf20-0279.cnf,19,probSAT
uf20-0280.cnf,31,probSAT
uf20-0281.cnf,29,probSAT
uf20-0282.cnf,39,probSAT
uf20-0283.cnf,180,gSAT2
uf20-0284.cnf,75,probSAT
uf20-0285.cnf,40,probSAT
uf20-0286.cnf,1061,gSAT2
uf20-0287.cnf,12,probSAT
uf20-0288.cnf,787,probSAT
uf20-0289.cnf,95,probSAT
uf20-0290.cnf,20,probSAT
uf20-0291.cnf,18,probSAT
uf20-0292.cnf,21,probSAT
uf20-0293.cnf,4,probSAT
uf20-0294.cnf,39,probSAT
uf20-0295.cnf,29,probSAT
uf20-0296.cnf,None,probSAT
uf20-0297.cnf,None,probSAT
uf20-0298.cnf,35,probSAT
uf20-0299.cnf,123,probSAT
uf20-0300.cnf,20,probSAT
uf20-0301.cnf,60,probSAT
uf20-0302.cnf,48,probSAT
uf20-0303.cnf,30,probSAT
uf20-0304.cnf,30,probSAT
uf20-0305.cnf,40,probSAT
uf20-0306.cnf,20,probSAT
uf20-0307.cnf,21,probSAT
uf20-0308.cnf,12,probSAT
uf20-0309.cnf,3,probSAT
uf20-0310.cnf,35,probSAT
uf20-0311.cnf,41,probSAT
uf20-0312.cnf,47,probSAT
uf20-0313.cnf,10,probSAT
uf20-0314.cnf,3,probSAT
uf20-0315.cnf,42,probSAT
uf20-0316.cnf,18,probSAT
uf20-0317.cnf,43,probSAT
uf20-0318.cnf,26,probSAT
uf20-0319.cnf,92,probSAT
uf20-0320.cnf,7,probSAT
uf20-0321.cnf,None,probSAT
uf20-0322.cnf,31,probSAT
uf20-0323.cnf,10,probSAT
uf20-0324.cnf,24,probSAT
uf20-0325.cnf,53,probSAT
uf20-0326.cnf,None,probSAT
uf20-0327.cnf,2,probSAT
uf20-0328.cnf,41,probSAT
uf20-0329.cnf,216,probSAT
uf20-0330.cnf,19,probSAT
uf20-0331.cnf,586,gSAT2
uf20-0332.cnf,35,probSAT
uf20-0333.cnf,78,probSAT
uf20-0334.cnf,3,probSAT
uf20-0335.cnf,22,probSAT
uf20-0336.cnf,7,probSAT
uf20-0337.cnf,18,probSAT
uf20-0338.cnf,51,probSAT
uf20-0339.cnf,12,probSAT
uf20-0340.cnf,611,gSAT2
uf20-0341.cnf,78,gSAT2
uf20-0342.cnf,74,probSAT
uf20-0343.cnf,15,probSAT
uf20-0344.cnf,45,probSAT
uf20-0345.cnf,31,probSAT
uf20-0346.cnf,52,probSAT
uf20-0347.cnf,47,probSAT
uf20-0348.cnf,30,probSAT
uf20-0349.cnf,31,probSAT
uf20-0350.cnf,2,probSAT
uf20-0351.cnf,79,probSAT
uf20-0352.cnf,81,probSAT
uf20-0353.cnf,20,probSAT
uf20-0354.cnf,25,probSAT
uf20-0355.cnf,504,gSAT2
uf20-0356.cnf,37,probSAT
uf20-0357.cnf,45,probSAT
uf20-0358.cnf,21,probSAT
uf20-0359.cnf,73,probSAT
uf20-0360.cnf,23,probSAT
uf20-0361.cnf,47,probSAT
uf20-0362.cnf,8,probSAT
uf20-0363.cnf,372,probSAT
uf20-0364.cnf,15,probSAT
uf20-0365.cnf,16,probSAT
uf20-0366.cnf,397,gSAT2
uf20-0367.cnf,49,probSAT
uf20-0368.cnf,43,probSAT
uf20-0369.cnf,27,probSAT
uf20-0370.cnf,12,probSAT
uf20-0371.cnf,54,probSAT
uf20-0372.cnf,7,probSAT
uf20-0373.cnf,None,probSAT
uf20-0374.cnf,7,probSAT
uf20-0375.cnf,None,probSAT
uf20-0376.cnf,28,probSAT
uf20-0377.cnf,19,probSAT
uf20-0378.cnf,38,probSAT
uf20-0379.cnf,15,probSAT
uf20-0380.cnf,15,probSAT
uf20-0381.cnf,None,probSAT
uf20-0382.cnf,5,probSAT
uf20-0383.cnf,None,probSAT
uf20-0384.cnf,209,probSAT
uf20-0385.cnf,24,probSAT
uf20-0386.cnf,100,probSAT
uf20-0387.cnf,23,probSAT
uf20-0388.cnf,45,probSAT
uf20-0389.cnf,23,probSAT
uf20-0390.cnf,16,probSAT
uf20-0391.cnf,13,probSAT
uf20-0392.cnf,17,probSAT
uf20-0393.cnf,26,probSAT
uf20-0394.cnf,62,probSAT
uf20-0395.cnf,20,probSAT
uf20-0396.cnf,58,probSAT
uf20-0397.cnf,83,probSAT
uf20-0398.cnf,43,probSAT
uf20-0399.cnf,25,probSAT
uf20-0400.cnf,None,probSAT
uf20-0401.cnf,15,probSAT
uf20-0402.cnf,33,probSAT
uf20-0403.cnf,24,probSAT
uf20-0404.cnf,27,probSAT
uf20-0405.cnf,35,probSAT
uf20-0406.cnf,20,probSAT
uf20-0407.cnf,6,probSAT
uf20-0408.cnf,19,probSAT
uf20-0409.cnf,60,probSAT
uf20-0410.cnf,6,probSAT
uf20-0411.cnf,8,probSAT
uf20-0412.cnf,5,probSAT
uf20-0413.cnf,31,probSAT
uf20-0414.cnf,87,probSAT
uf20-0415.cnf,9,probSAT
uf20-0416.cnf,48,probSAT
uf20-0417.cnf,6,probSAT
uf20-0418.cnf,9,probSAT
uf20-0419.cnf,134,probSAT
uf20-0420.cnf,89,probSAT
uf20-0421.cnf,20,probSAT
uf20-0422.cnf,42,probSAT
uf20-0423.cnf,20,probSAT
uf20-0424.cnf,28,probSAT
uf20-0425.cnf,47,probSAT
uf20-0426.cnf,26,probSAT
uf20-0427.cnf,2,probSAT
uf20-0428.cnf,7,probSAT
uf20-0429.cnf,11,probSAT
uf20-0430.cnf,43,probSAT
uf20-0431.cnf,10,probSAT
uf20-0432.cnf,23,probSAT
uf20-0433.cnf,4,probSAT
uf20-0434.cnf,2,probSAT
uf20-0435.cnf,26,probSAT
uf20-0436.cnf,11,probSAT
uf20-0437.cnf,23,probSAT
uf20-0438.cnf,4,probSAT
uf20-0439.cnf,29,probSAT
uf20-0440.cnf,37,probSAT
uf20-0441.cnf,70,probSAT
uf20-0442.cnf,35,probSAT
uf20-0443.cnf,150,probSAT
uf20-0444.cnf,447,probSAT
uf20-0445.cnf,52,probSAT
uf20-0446.cnf,19,probSAT
uf20-0447.cnf,32,probSAT
uf20-0448.cnf,20,probSAT
uf20-0449.cnf,58,gSAT2
uf20-0450.cnf,23,probSAT
uf20-0451.cnf,None,probSAT
uf20-0452.cnf,134,probSAT
uf20-0453.cnf,29,probSAT
uf20-0454.cnf,24,probSAT
uf20-0455.cnf,44,probSAT
uf20-0456.cnf,16,probSAT
uf20-0457.cnf,5,probSAT
uf20-0458.cnf,4,probSAT
uf20-0459.cnf,35,probSAT
uf20-0460.cnf,71,probSAT
uf20-0461.cnf,85,probSAT
uf20-0462.cnf,40,probSAT
uf20-0463.cnf,748,probSAT
uf20-0464.cnf,12,probSAT
uf20-0465.cnf,37,probSAT
uf20-0466.cnf,14,probSAT
uf20-0467.cnf,40,probSAT
uf20-0468.cnf,1128,probSAT
uf20-0469.cnf,20,probSAT
uf20-0470.cnf,12,probSAT
uf20-0471.cnf,192,probSAT
uf20-0472.cnf,30,probSAT
uf20-0473.cnf,26,probSAT
uf20-0474.cnf,37,probSAT
